año,trimestre,provincia_id,provincia,total
2017,1,1,CIUDAD AUTONOMA DE BS AS,37145
2017,1,6,BUENOS AIRES,9113
2017,1,82,SANTA FE,1441
2017,1,14,CORDOBA,1198
2017,1,66,SALTA,770
2017,1,50,MENDOZA,749
2017,1,26,CHUBUT,664
2017,1,54,MISIONES,521
2017,1,18,CORRIENTES,471
2017,1,58,NEUQUEN,378
2017,1,62,RIO NEGRO,373
2017,1,94,TIERRA DEL FUEGO,319
2017,1,30,ENTRE RIOS,260
2017,1,34,FORMOSA,249
2017,1,70,SAN JUAN,202
2017,1,90,TUCUMAN,196
2017,1,38,JUJUY,190
2017,1,46,LA RIOJA,176
2017,1,78,SANTA CRUZ,158
2017,1,74,SAN LUIS,102
2017,1,42,LA PAMPA,87
2017,2,1,CIUDAD AUTONOMA DE BS AS,34320
2017,2,6,BUENOS AIRES,9419
2017,2,14,CORDOBA,2030
2017,2,82,SANTA FE,1371
2017,2,58,NEUQUEN,1069
2017,2,50,MENDOZA,927
2017,2,26,CHUBUT,809
2017,2,54,MISIONES,632
2017,2,62,RIO NEGRO,540
2017,2,38,JUJUY,515
2017,2,18,CORRIENTES,336
2017,2,46,LA RIOJA,301
2017,2,78,SANTA CRUZ,295
2017,2,70,SAN JUAN,287
2017,2,90,TUCUMAN,266
2017,2,66,SALTA,220
2017,2,94,TIERRA DEL FUEGO,212
2017,2,30,ENTRE RIOS,173
2017,2,34,FORMOSA,144
2017,2,74,SAN LUIS,104
2017,2,42,LA PAMPA,99
2017,3,1,CIUDAD AUTONOMA DE BS AS,42974
2017,3,6,BUENOS AIRES,10291
2017,3,14,CORDOBA,1752
2017,3,26,CHUBUT,1063
2017,3,54,MISIONES,929
2017,3,82,SANTA FE,873
2017,3,38,JUJUY,759
2017,3,50,MENDOZA,712
2017,3,58,NEUQUEN,711
2017,3,66,SALTA,674
2017,3,62,RIO NEGRO,469
2017,3,46,LA RIOJA,459
2017,3,70,SAN JUAN,383
2017,3,18,CORRIENTES,379
2017,3,90,TUCUMAN,276
2017,3,30,ENTRE RIOS,248
2017,3,94,TIERRA DEL FUEGO,241
2017,3,34,FORMOSA,221
2017,3,78,SANTA CRUZ,198
2017,3,74,SAN LUIS,134
2017,3,42,LA PAMPA,106
2017,4,1,CIUDAD AUTONOMA DE BS AS,36838
2017,4,6,BUENOS AIRES,12217
2017,4,14,CORDOBA,2046
2017,4,50,MENDOZA,1520
2017,4,82,SANTA FE,1133
2017,4,54,MISIONES,851
2017,4,66,SALTA,768
2017,4,26,CHUBUT,697
2017,4,18,CORRIENTES,654
2017,4,58,NEUQUEN,635
2017,4,38,JUJUY,613
2017,4,94,TIERRA DEL FUEGO,590
2017,4,30,ENTRE RIOS,499
2017,4,62,RIO NEGRO,341
2017,4,46,LA RIOJA,330
2017,4,70,SAN JUAN,292
2017,4,90,TUCUMAN,275
2017,4,34,FORMOSA,250
2017,4,78,SANTA CRUZ,157
2017,4,74,SAN LUIS,149
2017,4,42,LA PAMPA,106
2018,1,1,CIUDAD AUTONOMA DE BS AS,31899
2018,1,6,BUENOS AIRES,7282
2018,1,14,CORDOBA,1726
2018,1,50,MENDOZA,1327
2018,1,82,SANTA FE,1225
2018,1,58,NEUQUEN,934
2018,1,54,MISIONES,685
2018,1,26,CHUBUT,627
2018,1,66,SALTA,567
2018,1,62,RIO NEGRO,469
2018,1,94,TIERRA DEL FUEGO,443
2018,1,38,JUJUY,375
2018,1,18,CORRIENTES,367
2018,1,30,ENTRE RIOS,335
2018,1,46,LA RIOJA,239
2018,1,90,TUCUMAN,219
2018,1,70,SAN JUAN,194
2018,1,34,FORMOSA,162
2018,1,78,SANTA CRUZ,147
2018,1,42,LA PAMPA,112
2018,1,74,SAN LUIS,108
2018,2,1,CIUDAD AUTONOMA DE BS AS,35942
2018,2,6,BUENOS AIRES,13822
2018,2,14,CORDOBA,2713
2018,2,50,MENDOZA,1306
2018,2,82,SANTA FE,1290
2018,2,66,SALTA,1243
2018,2,26,CHUBUT,832
2018,2,54,MISIONES,640
2018,2,58,NEUQUEN,552
2018,2,62,RIO NEGRO,525
2018,2,90,TUCUMAN,492
2018,2,18,CORRIENTES,453
2018,2,46,LA RIOJA,404
2018,2,30,ENTRE RIOS,369
2018,2,34,FORMOSA,320
2018,2,70,SAN JUAN,279
2018,2,38,JUJUY,279
2018,2,42,LA PAMPA,257
2018,2,94,TIERRA DEL FUEGO,195
2018,2,78,SANTA CRUZ,188
2018,2,74,SAN LUIS,147
2018,3,1,CIUDAD AUTONOMA DE BS AS,37544
2018,3,6,BUENOS AIRES,13039
2018,3,14,CORDOBA,2472
2018,3,82,SANTA FE,2081
2018,3,50,MENDOZA,1208
2018,3,58,NEUQUEN,918
2018,3,54,MISIONES,747
2018,3,26,CHUBUT,693
2018,3,90,TUCUMAN,593
2018,3,18,CORRIENTES,470
2018,3,62,RIO NEGRO,460
2018,3,66,SALTA,433
2018,3,46,LA RIOJA,415
2018,3,94,TIERRA DEL FUEGO,328
2018,3,70,SAN JUAN,315
2018,3,30,ENTRE RIOS,315
2018,3,34,FORMOSA,281
2018,3,38,JUJUY,272
2018,3,42,LA PAMPA,214
2018,3,78,SANTA CRUZ,178
2018,3,74,SAN LUIS,133
2018,4,6,BUENOS AIRES,14334
2018,4,14,CORDOBA,3222
2018,4,82,SANTA FE,2174
