,año,trimestre,provincia_id,provincia,total
0,2018,1,1,CIUDAD AUTONOMA DE BS AS,31899
1,2018,1,6,BUENOS AIRES,7282
440,2018,1,14,CORDOBA,1726
875,2018,1,50,MENDOZA,1327
1302,2018,1,82,SANTA FE,1225
1731,2018,1,58,NEUQUEN,934
2146,2018,1,54,MISIONES,685
2546,2018,1,26,CHUBUT,627
2959,2018,1,66,SALTA,567
3367,2018,1,62,RIO NEGRO,469
3779,2018,1,94,TIERRA DEL FUEGO,443
4151,2018,1,38,JUJUY,375
4530,2018,1,18,CORRIENTES,367
4938,2018,1,30,ENTRE RIOS,335
5355,2018,1,46,LA RIOJA,239
5700,2018,1,90,TUCUMAN,219
6103,2018,1,70,SAN JUAN,194
6498,2018,1,34,FORMOSA,162
6834,2018,1,78,SANTA CRUZ,147
7224,2018,1,42,LA PAMPA,112
7600,2018,1,74,SAN LUIS,108
7998,2018,2,1,CIUDAD AUTONOMA DE BS AS,35942
7999,2018,2,6,BUENOS AIRES,13822
8438,2018,2,14,CORDOBA,2713
8873,2018,2,50,MENDOZA,1306
9300,2018,2,82,SANTA FE,1290
9729,2018,2,66,SALTA,1243
10137,2018,2,26,CHUBUT,832
10550,2018,2,54,MISIONES,640
10950,2018,2,58,NEUQUEN,552
11365,2018,2,62,RIO NEGRO,525
11777,2018,2,90,TUCUMAN,492
12180,2018,2,18,CORRIENTES,453
12588,2018,2,46,LA RIOJA,404
12933,2018,2,30,ENTRE RIOS,369
13350,2018,2,34,FORMOSA,320
13686,2018,2,70,SAN JUAN,279
14081,2018,2,38,JUJUY,279
14460,2018,2,42,LA PAMPA,257
14836,2018,2,94,TIERRA DEL FUEGO,195
15208,2018,2,78,SANTA CRUZ,188
15598,2018,2,74,SAN LUIS,147
15996,2018,3,1,CIUDAD AUTONOMA DE BS AS,37544
15997,2018,3,6,BUENOS AIRES,13039
16436,2018,3,14,CORDOBA,2472
16871,2018,3,82,SANTA FE,2081
17300,2018,3,50,MENDOZA,1208
17727,2018,3,58,NEUQUEN,918
18142,2018,3,54,MISIONES,747
18542,2018,3,26,CHUBUT,693
18955,2018,3,90,TUCUMAN,593
19358,2018,3,18,CORRIENTES,470
19766,2018,3,62,RIO NEGRO,460
20178,2018,3,66,SALTA,433
20586,2018,3,46,LA RIOJA,415
20931,2018,3,94,TIERRA DEL FUEGO,328
21303,2018,3,70,SAN JUAN,315
21698,2018,3,30,ENTRE RIOS,315
22115,2018,3,34,FORMOSA,281
22451,2018,3,38,JUJUY,272
22830,2018,3,42,LA PAMPA,214
23206,2018,3,78,SANTA CRUZ,178
23596,2018,3,74,SAN LUIS,133
23994,2018,4,6,BUENOS AIRES,14334
24433,2018,4,14,CORDOBA,3222
24868,2018,4,82,SANTA FE,2174
25297,2018,4,58,NEUQUEN,1331
25712,2018,4,50,MENDOZA,1113
26139,2018,4,66,SALTA,920
26547,2018,4,26,CHUBUT,747
26960,2018,4,94,TIERRA DEL FUEGO,510
27332,2018,4,54,MISIONES,505
27732,2018,4,18,CORRIENTES,455
28140,2018,4,38,JUJUY,370
28519,2018,4,90,TUCUMAN,370
28922,2018,4,62,RIO NEGRO,341
29334,2018,4,74,SAN LUIS,331
29732,2018,4,34,FORMOSA,294
30068,2018,4,30,ENTRE RIOS,278
30485,2018,4,46,LA RIOJA,275
30830,2018,4,42,LA PAMPA,224
31206,2018,4,70,SAN JUAN,222
31601,2018,4,78,SANTA CRUZ,127
