año,trimestre,provincia_id,provincia,total
2019,1,1,CIUDAD AUTONOMA DE BS AS,24215
2019,1,6,BUENOS AIRES,11822
2019,1,14,CORDOBA,1896
2019,1,50,MENDOZA,1258
2019,1,82,SANTA FE,1004
2019,1,58,NEUQUEN,696
2019,1,54,MISIONES,581
2019,1,26,CHUBUT,572
2019,1,94,TIERRA DEL FUEGO,452
2019,1,18,CORRIENTES,360
2019,1,38,JUJUY,352
2019,1,62,RIO NEGRO,308
2019,1,74,SAN LUIS,266
2019,1,30,ENTRE RIOS,256
2019,1,66,SALTA,188
2019,1,70,SAN JUAN,172
2019,1,46,LA RIOJA,166
2019,1,78,SANTA CRUZ,141
2019,1,90,TUCUMAN,120
2019,1,34,FORMOSA,76
2019,1,42,LA PAMPA,62
2019,2,1,CIUDAD AUTONOMA DE BS AS,24472
2019,2,6,BUENOS AIRES,10029
2019,2,14,CORDOBA,1558
2019,2,50,MENDOZA,1142
2019,2,58,NEUQUEN,1039
2019,2,82,SANTA FE,894
2019,2,66,SALTA,556
2019,2,54,MISIONES,511
2019,2,26,CHUBUT,441
2019,2,18,CORRIENTES,437
2019,2,30,ENTRE RIOS,391
2019,2,38,JUJUY,365
2019,2,90,TUCUMAN,296
2019,2,62,RIO NEGRO,271
2019,2,70,SAN JUAN,216
2019,2,94,TIERRA DEL FUEGO,190
2019,2,46,LA RIOJA,172
2019,2,34,FORMOSA,163
2019,2,42,LA PAMPA,152
2019,2,78,SANTA CRUZ,114
2019,2,74,SAN LUIS,111
2019,3,1,CIUDAD AUTONOMA DE BS AS,24472
2019,3,6,BUENOS AIRES,10029
2019,3,14,CORDOBA,1558
2019,3,50,MENDOZA,1142
2019,3,58,NEUQUEN,1039
2019,3,82,SANTA FE,894
2019,3,66,SALTA,556
2019,3,54,MISIONES,511
2019,3,26,CHUBUT,441
2019,3,18,CORRIENTES,437
2019,3,30,ENTRE RIOS,391
2019,3,38,JUJUY,365
2019,3,90,TUCUMAN,296
2019,3,62,RIO NEGRO,271
2019,3,70,SAN JUAN,216
2019,3,94,TIERRA DEL FUEGO,190
2019,3,46,LA RIOJA,172
2019,3,34,FORMOSA,163
2019,3,42,LA PAMPA,152
2019,3,78,SANTA CRUZ,114
2019,3,74,SAN LUIS,111
2019,4,1,CIUDAD AUTONOMA DE BS AS,23034
2019,4,6,BUENOS AIRES,9863
2019,4,14,CORDOBA,2573
2019,4,58,NEUQUEN,1017
2019,4,82,SANTA FE,1015
2019,4,50,MENDOZA,857
2019,4,94,TIERRA DEL FUEGO,726
2019,4,66,SALTA,652
2019,4,30,ENTRE RIOS,615
2019,4,26,CHUBUT,539
2019,4,54,MISIONES,480
2019,4,18,CORRIENTES,437
2019,4,62,RIO NEGRO,292
2019,4,38,JUJUY,273
2019,4,46,LA RIOJA,213
2019,4,70,SAN JUAN,210
2019,4,74,SAN LUIS,205
2019,4,90,TUCUMAN,201
2019,4,78,SANTA CRUZ,159
2019,4,34,FORMOSA,126
2019,4,42,LA PAMPA,49
