"provincia_id","provincia_nombre","pais_origen","sexo","edad_quinquenal","cantidad"
6,"BUENOS AIRES","Bolivia","MUJER","0 a 4",305
6,"BUENOS AIRES","Bolivia","MUJER","5 a 9",2943
6,"BUENOS AIRES","Bolivia","MUJER","10 a 14",4169
6,"BUENOS AIRES","Bolivia","MUJER","15 a 19",5890
6,"BUENOS AIRES","Bolivia","MUJER","20 a 24",9356
6,"BUENOS AIRES","Bolivia","MUJER","25 a 29",16723
6,"BUENOS AIRES","Bolivia","MUJER","30 a 34",19798
6,"BUENOS AIRES","Bolivia","MUJER","35 a 39",16849
6,"BUENOS AIRES","Bolivia","MUJER","40 a 44",13743
6,"BUENOS AIRES","Bolivia","MUJER","45 a 49",10044
6,"BUENOS AIRES","Bolivia","MUJER","50 a 54",8735
6,"BUENOS AIRES","Bolivia","MUJER","55 a 59",6759
6,"BUENOS AIRES","Bolivia","MUJER","60 a 64",5392
6,"BUENOS AIRES","Bolivia","MUJER","65 a 69",4373
6,"BUENOS AIRES","Bolivia","MUJER","70 a 74",3344
6,"BUENOS AIRES","Bolivia","MUJER","75 a 79",2422
6,"BUENOS AIRES","Bolivia","MUJER","80 a 84",1275
6,"BUENOS AIRES","Bolivia","MUJER","85 a 89",526
6,"BUENOS AIRES","Bolivia","MUJER","90 a 94",244
6,"BUENOS AIRES","Bolivia","MUJER","95 y más",71
6,"BUENOS AIRES","Bolivia","VARON","0 a 4",337
6,"BUENOS AIRES","Bolivia","VARON","5 a 9",2959
6,"BUENOS AIRES","Bolivia","VARON","10 a 14",4589
6,"BUENOS AIRES","Bolivia","VARON","15 a 19",6041
6,"BUENOS AIRES","Bolivia","VARON","20 a 24",9650
6,"BUENOS AIRES","Bolivia","VARON","25 a 29",17935
6,"BUENOS AIRES","Bolivia","VARON","30 a 34",21664
6,"BUENOS AIRES","Bolivia","VARON","35 a 39",18955
6,"BUENOS AIRES","Bolivia","VARON","40 a 44",15075
6,"BUENOS AIRES","Bolivia","VARON","45 a 49",10716
6,"BUENOS AIRES","Bolivia","VARON","50 a 54",9398
6,"BUENOS AIRES","Bolivia","VARON","55 a 59",6917
6,"BUENOS AIRES","Bolivia","VARON","60 a 64",5487
6,"BUENOS AIRES","Bolivia","VARON","65 a 69",4034
6,"BUENOS AIRES","Bolivia","VARON","70 a 74",3440
6,"BUENOS AIRES","Bolivia","VARON","75 a 79",2439
6,"BUENOS AIRES","Bolivia","VARON","80 a 84",1327
6,"BUENOS AIRES","Bolivia","VARON","85 a 89",539
6,"BUENOS AIRES","Bolivia","VARON","90 a 94",206
6,"BUENOS AIRES","Bolivia","VARON","95 y más",44
10,"CATAMARCA","Bolivia","MUJER","5 a 9",1
10,"CATAMARCA","Bolivia","MUJER","10 a 14",11
10,"CATAMARCA","Bolivia","MUJER","15 a 19",12
10,"CATAMARCA","Bolivia","MUJER","20 a 24",11
10,"CATAMARCA","Bolivia","MUJER","25 a 29",30
10,"CATAMARCA","Bolivia","MUJER","30 a 34",37
10,"CATAMARCA","Bolivia","MUJER","35 a 39",42
10,"CATAMARCA","Bolivia","MUJER","40 a 44",48
10,"CATAMARCA","Bolivia","MUJER","45 a 49",35
10,"CATAMARCA","Bolivia","MUJER","50 a 54",20
10,"CATAMARCA","Bolivia","MUJER","55 a 59",18
10,"CATAMARCA","Bolivia","MUJER","60 a 64",17
10,"CATAMARCA","Bolivia","MUJER","65 a 69",12
10,"CATAMARCA","Bolivia","MUJER","70 a 74",10
10,"CATAMARCA","Bolivia","MUJER","75 a 79",6
10,"CATAMARCA","Bolivia","MUJER","80 a 84",2
10,"CATAMARCA","Bolivia","MUJER","90 a 94",4
10,"CATAMARCA","Bolivia","MUJER","95 y más",1
10,"CATAMARCA","Bolivia","VARON","5 a 9",4
10,"CATAMARCA","Bolivia","VARON","10 a 14",16
10,"CATAMARCA","Bolivia","VARON","15 a 19",12
10,"CATAMARCA","Bolivia","VARON","20 a 24",14
10,"CATAMARCA","Bolivia","VARON","25 a 29",22
10,"CATAMARCA","Bolivia","VARON","30 a 34",34
10,"CATAMARCA","Bolivia","VARON","35 a 39",41
10,"CATAMARCA","Bolivia","VARON","40 a 44",48
10,"CATAMARCA","Bolivia","VARON","45 a 49",27
10,"CATAMARCA","Bolivia","VARON","50 a 54",34
10,"CATAMARCA","Bolivia","VARON","55 a 59",33
10,"CATAMARCA","Bolivia","VARON","60 a 64",13
10,"CATAMARCA","Bolivia","VARON","65 a 69",25
10,"CATAMARCA","Bolivia","VARON","70 a 74",18
10,"CATAMARCA","Bolivia","VARON","75 a 79",10
10,"CATAMARCA","Bolivia","VARON","80 a 84",4
10,"CATAMARCA","Bolivia","VARON","85 a 89",1
10,"CATAMARCA","Bolivia","VARON","95 y más",1
22,"CHACO","Bolivia","MUJER","5 a 9",6
22,"CHACO","Bolivia","MUJER","10 a 14",3
22,"CHACO","Bolivia","MUJER","15 a 19",2
22,"CHACO","Bolivia","MUJER","20 a 24",7
22,"CHACO","Bolivia","MUJER","25 a 29",11
22,"CHACO","Bolivia","MUJER","30 a 34",16
22,"CHACO","Bolivia","MUJER","35 a 39",11
22,"CHACO","Bolivia","MUJER","40 a 44",16
22,"CHACO","Bolivia","MUJER","45 a 49",4
22,"CHACO","Bolivia","MUJER","50 a 54",10
22,"CHACO","Bolivia","MUJER","55 a 59",5
22,"CHACO","Bolivia","MUJER","60 a 64",3
22,"CHACO","Bolivia","MUJER","65 a 69",3
22,"CHACO","Bolivia","MUJER","70 a 74",4
22,"CHACO","Bolivia","MUJER","75 a 79",2
22,"CHACO","Bolivia","MUJER","85 a 89",1
22,"CHACO","Bolivia","VARON","5 a 9",5
22,"CHACO","Bolivia","VARON","10 a 14",9
22,"CHACO","Bolivia","VARON","15 a 19",3
22,"CHACO","Bolivia","VARON","20 a 24",10
22,"CHACO","Bolivia","VARON","25 a 29",19
22,"CHACO","Bolivia","VARON","30 a 34",12
22,"CHACO","Bolivia","VARON","35 a 39",15
22,"CHACO","Bolivia","VARON","40 a 44",12
22,"CHACO","Bolivia","VARON","45 a 49",10
22,"CHACO","Bolivia","VARON","50 a 54",7
22,"CHACO","Bolivia","VARON","55 a 59",6
22,"CHACO","Bolivia","VARON","60 a 64",6
22,"CHACO","Bolivia","VARON","65 a 69",6
22,"CHACO","Bolivia","VARON","70 a 74",7
