,Country Code,Year,Ingresos,Electricidad,Contaminación,Crecimiento PBI,Crecimiento PBI per cápita,Desempleo Hombre,Desempleo mujeres,Gasto PBI,Importaciones,Migracion neta,Desempleados con educación avanzada,Tasa de cambio,Pobreza,Mortalidad
0,ABW,1960,,,,,,,,,,0.0,,,,6.594
1,AFE,1960,,,,,,,,,3757510945.8383203,-90849.0,,,,20.918107554033377
2,AFG,1960,,,,,,,,,87000000.0,2606.0,,17.1965606878624,,31.921
3,AFW,1960,,,,,,,,,1879999999.9999993,-847.0,,,,26.363066688725226
4,AGO,1960,,,,,,,,,128000000.0,-43749.0,,2.86684433333333e-08,,26.659
5,ALB,1960,,,,,,,,,81000000.0,15540.0,,,,16.681
6,AND,1960,,,,,,,,,,642.0,,,,
7,ARB,1960,,,,,,,,,4880872510.304002,-111478.0,,,,21.183258230560526
8,ARE,1960,,,,,,,,,160000000.0,3916.0,,,,15.546
9,ARG,1960,,,,,,,,,1249000000.0,20399.0,,,,8.844
10,ARM,1960,,,,,,,,,,12482.0,,,,12.201
11,ASM,1960,,,,,,,,,5000000.0,-260.0,,,,
12,ATG,1960,,,,,,,,,9000000.0,-361.0,,1.71429000071429,,9.553
13,AUS,1960,,,,,,,,,2662000000.0,86587.0,,0.892856999892857,,8.6
14,AUT,1960,,,,,,,,,1416000000.0,-2274.0,,26.000000025,,12.7
15,AZE,1960,,,,,,,,,,-163.0,,,,14.929
16,BDI,1960,,,,,,,,,21000000.0,-14647.0,,50.000000049,,21.657
17,BEL,1960,,,,,,,,,,12907.0,,50.000000049,,12.4
18,BEN,1960,,,,,,,,,31000000.0,-4725.0,,245.195101398359,,28.468
19,BFA,1960,,,,,,,,,11000000.0,-23329.0,,245.195101398359,,27.102
20,BGD,1960,,,,,,,,,,13584.0,,,,21.222
21,BGR,1960,,,,,,,,,633000000.0,-1050.0,,0.001169999999,,8.1
22,BHR,1960,,,,,,,,,180000000.0,1268.0,,,,16.084
23,BHS,1960,,,,,,,,,66000000.0,2287.0,,1.02041,,8.353
24,BIH,1960,,,,,,,,,,-11702.0,,,,9.535
25,BLR,1960,,,,,,,,,,-34548.0,,,,7.751
26,BLZ,1960,,,,,,,,,13000000.0,-625.0,,1.42857000042857,,12.329
27,BMU,1960,,,,,,,,,,-66.0,,0.85714,,9.9
28,BOL,1960,,,,,,,,,71000000.0,-3148.0,,1.188e-05,,22.968
29,BRA,1960,,,,,,,,,1462000000.0,51401.0,,8.09970533496994e-14,,14.025
30,BRB,1960,,,,,,,,,49000000.0,-3850.0,,1.71429000071429,,9.474
31,BRN,1960,,,,,,,,,17000000.0,1484.0,,3.06122000206122,,11.655
32,BTN,1960,,,,,,,,,,1489.0,,4.7619000037619,,29.82
33,BWA,1960,,,,,,,,,9000000.0,-4329.0,,0.713320882169215,,16.77
34,CAF,1960,,,,,,,,,20000000.0,485.0,,245.195101398359,,25.41
35,CAN,1960,,,,,,,,,6073000000.0,44527.0,,0.969766786666667,,7.8
36,CEB,1960,,,,,,,,,,-20932.0,,,,8.632179424896002
37,CHE,1960,,,,,,,,,2206000000.0,22356.0,,4.37295000337295,,9.8
38,CHI,1960,,,,,,,,,,791.0,,,,12.3550638360229
39,CHL,1960,,,,,,,,,625000000.0,-27179.0,,0.00104896937508435,,10.992
40,CHN,1960,,,,,,,,,2648000000.0,-118519.0,,2.46180889882528,,25.43
41,CIV,1960,,,,,,,,,131000000.0,31307.0,,245.195101398359,,26.907
42,CMR,1960,,,,,,,,,84000000.0,0.0,,245.195101398359,,28.64
43,COD,1960,,,,,,,,,235000000.0,27672.0,,1.7e-13,,23.167
44,COG,1960,,,,,,,,,70000000.0,0.0,,245.195101398359,,17.613
45,COL,1960,,,,,,,,,517000000.0,-49098.0,,6.635,,11.873
46,COM,1960,,,,,,,,,4000000.0,-741.0,,245.193023629327,,25.08
47,CPV,1960,,,,,,,,,12000000.0,-2269.0,,28.75000002875,,18.469
48,CRI,1960,,,,,,,,,110000000.0,1525.0,,5.615000004615,,10.232
49,CSS,1960,,,,,,,,,825000000.0000004,-46404.0,,,,9.717499426367517
50,CUB,1960,,,,,,,,,638000000.0,-25396.0,,0.999999999,,8.629
51,CUW,1960,,,,,,,,,,-1530.0,,,,8.087
52,CYM,1960,,,,,,,,,,-32.0,,0.714285714795918,,
53,CYP,1960,,,,,,,,,104000000.0,2674.0,,0.357142999357143,,10.025
54,CZE,1960,,,,,,,,,,1514.0,,,,9.8
55,DEU,1960,,,,,,,,,10172000000.0,100380.0,,4.2000000032,,12.0
56,DJI,1960,,,,,,,,,33000000.0,886.0,,214.392000213392,,20.192
57,DMA,1960,,,,,,,,,6000000.0,-699.0,,1.71429000071429,,14.029
58,DNK,1960,,,,,,,,,1807000000.0,-726.0,,6.90714000590714,,9.5
59,DOM,1960,,,,,,,,,100000000.0,-7545.0,,1.0,,16.894
60,DZA,1960,,,,,,,,,1264000000.0,-55202.0,,4.93706000393706,,23.785
61,EAP,1960,,,,,,,,,6219206732.275452,-211668.0,,,,22.9196995320839
62,EAR,1960,,,,,,,,,17388691074.47026,-139849.0,,,,18.902972107165066
63,EAS,1960,,,,,,,,,17169816322.58932,-85134.0,,,,20.886353179901825
64,ECA,1960,,,,,,,,,,2806.0,,,,9.740041248614553
65,ECS,1960,,,,,,,,,65762587524.54813,-201349.0,,,,10.061763947055617
66,ECU,1960,,,,,,,,,114000000.0,-1742.0,,15.000000015,,15.371
67,EGY,1960,,,,,,,,,668000000.0,-2959.0,,0.348241999348242,,21.364
68,EMU,1960,,,,,,,,,35778482497.34411,-200294.0,,,,10.490872698849536
69,ERI,1960,,,,,,,,,,1059.0,,2.48669052187255,,25.715
70,ESP,1960,,,,,,,,,722000000.0,-150213.0,,60.000000059,,8.6
71,EST,1960,,,,,,,,,,7627.0,,,,10.5
72,ETH,1960,,,,,,,,,88000000.0,1698.0,,2.48447000148447,,23.349
73,EUU,1960,,,,,,,,,45409414529.44557,-234924.0,,,,10.050375096937675
74,FCS,1960,,,,,,,,,5384426703.663254,-34944.0,,,,20.6491692236635
75,FIN,1960,,,,,,,,,1064000000.0,-9445.0,,3.2000000022,,9.0
76,FJI,1960,,,,,,,,,41000000.0,-830.0,,0.792857999703316,,10.728
77,FRA,1960,,,,,,,,,6282000000.0,160864.0,,4.93706000393706,,11.4
78,FRO,1960,,,,,,,,,,-60.0,,6.90714000590714,,
79,FSM,1960,,,,,,,,,,193.0,,1.0,,12.386
80,GAB,1960,,,,,,,,,32000000.0,0.0,,245.195101398359,,20.64
81,GBR,1960,,,,,,,,,13034000000.0,2344.0,,0.357142999357143,,11.5
82,GEO,1960,,,,,,,,,,16740.0,,,,12.684
83,GHA,1960,,,,,,,,,363000000.0,12176.0,,7.13915966742473e-05,,18.998
84,GIB,1960,,,,,,,,,,-259.0,,0.357142999357143,,8.564
85,GIN,1960,,,,,,,,,50000000.0,0.0,,24.685000023685,,28.389
86,GMB,1960,,,,,,,,,9000000.0,2282.0,,1.78571071450171,,28.943
87,GNB,1960,,,,,,,,,11000000.0,-8009.0,,245.195101398359,,27.099
88,GNQ,1960,,,,,,,,,16000000.0,222.0,,245.195101398359,,23.669
89,GRC,1960,,,,,,,,,702000000.0,-51051.0,,30.000300003,,7.3
90,GRD,1960,,,,,,,,,9000000.0,-1583.0,,1.71429000071429,,11.431
91,GRL,1960,,,,,,,,,16000000.0,156.0,,6.90714000590714,,
92,GTM,1960,,,,,,,,,121000000.0,-182.0,,1.0,,18.949
93,GUM,1960,,,,,,,,,,-469.0,,,,6.443
94,GUY,1960,,,,,,,,,86000000.0,-1349.0,,1.71429000071429,,10.915
95,HIC,1960,,,,,,,,,97987397711.54362,550159.0,,,,9.744841231207102
96,HKG,1960,,,,,,,,,1026000000.0,39211.0,,5.7143000047143,,6.427
97,HND,1960,,,,,,,,,72000000.0,-4090.0,,2.000000001,,18.449
98,HPC,1960,,,,,,,,,2943721642.0524926,-83533.0,,,,23.818587102737755
99,HRV,1960,,,,,,,,,,-2176.0,,,,10.0
100,HTI,1960,,,,,,,,,40000000.0,-13788.0,,5.000000004,,21.263
101,HUN,1960,,,,,,,,,976000000.0,-1446.0,,,,10.2
102,IBD,1960,,,,,,,,,28597425850.646904,-520193.0,,,,18.9856747122524
103,IBT,1960,,,,,,,,,35536982760.519844,-593488.0,,,,19.585625675788364
104,IDA,1960,,,,,,,,,6847016967.960922,-73295.0,,,,22.48808919005268
105,IDB,1960,,,,,,,,,2421185984.15201,17337.0,,,,22.340744348997294
106,IDN,1960,,,,,,,,,574000000.0,50818.0,,,,18.024
107,IDX,1960,,,,,,,,,4415154487.887663,-90632.0,,,,22.55300344039434
108,IMN,1960,,,,,,,,,,-685.0,,0.357142999357143,,16.917
109,IND,1960,,,,,,,,,2303000000.0,52264.0,,4.7619000037619,,19.633
110,INX,1960,,,,,,,,,,,,,,
111,IRL,1960,,,,,,,,,634000000.0,-38971.0,,0.357142999357143,,11.5
112,IRN,1960,,,,,,,,,560000000.0,24066.0,,75.75000007575,,23.053
113,IRQ,1960,,,,,,,,,389000000.0,1573.0,,0.357142999357143,,13.894
114,ISL,1960,,,,,,,,,97000000.0,-248.0,,0.361904749977738,,6.6
115,ISR,1960,,,,,,,,,496000000.0,39949.0,,0.000179999605382631,,5.7
116,ITA,1960,,,,,,,,,4734000000.0,-145608.0,,623.98633587256,,9.6
117,JAM,1960,,,,,,,,,217000000.0,-29946.0,,0.714285999571429,,8.838
118,JOR,1960,,,,,,,,,120000000.0,15509.0,,0.357142999357143,,15.744
119,JPN,1960,,,,,,1.6,,,4491000000.0,-46245.0,,360.000000359,,7.6
120,KAZ,1960,,,,,,,,,,83541.0,,,,12.763
121,KEN,1960,,,,,,,,,196000000.0,2140.0,,7.14286000614286,,18.647
122,KGZ,1960,,,,,,,,,,13949.0,,,,16.28
123,KHM,1960,,,,,,,,,95000000.0,-3332.0,,35.0,,20.951
124,KIR,1960,,,,,,,,,3000000.0,0.0,,0.892856999892857,,19.411
125,KNA,1960,,,,,,,,,7000000.0,-1812.0,,1.71429000071429,,15.244
126,KOR,1960,,,,,,,,,344000000.0,23626.0,,63.125,,12.663
127,KWT,1960,,,,,,,,,242000000.0,21767.0,,0.357142999357143,,11.561
128,LAC,1960,,,,,,,,,6606000000.0,-181634.0,,,,13.704076243994745
129,LAO,1960,,,,,,,,,19000000.0,0.0,,80.0001547257747,,22.677
130,LBN,1960,,,,,,,,,255000000.0,0.0,,3.169349999,,9.837
131,LBR,1960,,,,,,,,,69000000.0,1891.0,,1.0,,25.588
132,LBY,1960,,,,,,,,,169000000.0,14784.0,,0.357142999,,25.985
133,LCA,1960,,,,,,,,,7000000.0,-1912.0,,1.71429000071429,,14.175
134,LCN,1960,,,,,,,,,9729186563.72481,-240354.0,,,,13.279689540927015
135,LDC,1960,,,,,,,,,2988094168.2062674,-166554.0,,,,23.523638382922517
136,LIC,1960,,,,,,,,,1747621829.9693997,-119820.0,,,,23.66302403062864
137,LIE,1960,,,,,,,,,,201.0,,,,7.5
138,LKA,1960,,,,,,,,,413000000.0,-12606.0,,4.7619000037619,,11.09
139,LMC,1960,,,,,,,,,12461843448.520395,-126512.0,,,,19.306479674922798
140,LMY,1960,,,,,,,,,31198858066.20633,-560590.0,,,,19.864795295623654
141,LSO,1960,,,,,,,,,17000000.0,2591.0,,0.714285999714286,,17.377
142,LTE,1960,,,,,,,,,15440436151.527569,-343056.0,,,,19.813337972957317
143,LTU,1960,,,,,,,,,,-463.0,,,,7.8
144,LUX,1960,,,,,,,,,,29.0,,50.000000049,,11.8
145,LVA,1960,,,,,,,,,,13775.0,,,,10.0
146,MAC,1960,,,,,,,,,30000000.0,-8044.0,,,,8.721
147,MAF,1960,,,,,,,,,,0.0,,,,6.714
148,MAR,1960,,,,,,,,,413000000.0,-19418.0,,5.06049000406049,,22.745
149,MCO,1960,,,,,,,,,,85.0,,,,
150,MDA,1960,,,,,,,,,,28097.0,,,,11.003
151,MDG,1960,,,,,,,,,112000000.0,0.0,,49.3706000495261,,21.524
152,MDV,1960,,,,,,,,,4000000.0,-41.0,,4.7619000037619,,26.776
153,MEA,1960,,,,,,,,,5805291624.436026,-55509.0,,,,21.47019198486324
154,MEX,1960,,,,,,,,,1186000000.0,-90381.0,,0.0125000000125,,13.435
155,MHL,1960,,,,,,,,,,9.0,,,,16.121
156,MIC,1960,,,,,,,,,29412463338.133266,-440770.0,,,,19.620107208782105
157,MKD,1960,,,,,,,,,,-10130.0,,,,12.966
158,MLI,1960,,,,,,,,,33000000.0,-10332.0,,245.195101398359,,34.973
159,MLT,1960,,,,,,,,,83000000.0,-6168.0,,0.357142999357143,,8.6
160,MMR,1960,,,,,,,,,262000000.0,8812.0,,4.7619000037619,,20.696
161,MNA,1960,,,,,,,,,4402575116.230658,-122438.0,,,,21.880451552308436
